table_name,column_name,description,example_source,nullable
organizations,organization_id,"Product ownership, legal attribution, and repository-level metadata.","Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,organization_name,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,product_name,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,internal_codename,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,positioning,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,license,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,repo_name,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,owner_name,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,created_at,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
organizations,status,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,creator_id,Creator accounts and onboarding state.,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,organization_id,Creator accounts and onboarding state.,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,creator_handle,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,display_name,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,creator_type,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,primary_vertical,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,creator_stage,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,onboarding_status,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,workspace_mode,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,trust_tier,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,monetization_probation_start,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,monetization_probation_end,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,payout_enabled,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
creators,primary_goal,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,platform_account_id,"Connected external platform accounts across Twitch, YouTube Live, Kick, and TikTok Live.","Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,creator_id,"Connected external platform accounts across Twitch, YouTube Live, Kick, and TikTok Live.","Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,platform,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,platform_handle,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,connected,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,follower_count,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,avg_concurrent_viewers_30d,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,subscriber_count,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,sync_status,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
platform_accounts,last_synced_at,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
streams,stream_id,"Stream lifecycle records with health, mode, and reliability settings.","Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
streams,creator_id,"Stream lifecycle records with health, mode, and reliability settings.","Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
streams,title,,"Derived from Amalgam Creator OS, Growth Intel, 7-Signal, Bestie, reliability, and roadmap documents",no
