table_name,record_number,primary_key_hint,record_label,record_json
bestie_actions,1,bst_001,bst_001,"{""bestie_action_id"": ""bst_001"", ""stream_id"": ""str_001"", ""creator_id"": ""crt_001"", ""action_type"": ""title_optimization"", ""tone"": ""pro"", ""trigger_source"": ""pre_live_check"", ""suggestion"": ""Lead with the resilience wedge: 'Why streams fail and how Amalgam fixes it.'"", ""priority"": ""high"", ""creator_accepted"": ""true"", ""impact_metric"": ""click_through_rate"", ""estimated_minutes_saved"": ""12"", ""status"": ""implemented""}"
bestie_actions,2,bst_002,bst_002,"{""bestie_action_id"": ""bst_002"", ""stream_id"": ""str_002"", ""creator_id"": ""crt_002"", ""action_type"": ""dead_chat_recovery"", ""tone"": ""hype"", ""trigger_source"": ""live_guardrail"", ""suggestion"": ""Ask chat to vote between challenge mode or story mode for the next segment."", ""priority"": ""critical"", ""creator_accepted"": ""true"", ""impact_metric"": ""chat_messages_per_hour"", ""estimated_minutes_saved"": ""6"", ""status"": ""implemented""}"
bestie_actions,3,bst_003,bst_003,"{""bestie_action_id"": ""bst_003"", ""stream_id"": ""str_003"", ""creator_id"": ""crt_003"", ""action_type"": ""clip_idea"", ""tone"": ""chill"", ""trigger_source"": ""semantic_moment_detection"", ""suggestion"": ""Clip the explanation of water-to-compute pressure as a 45-second explainer."", ""priority"": ""medium"", ""creator_accepted"": ""false"", ""impact_metric"": ""short_form_views"", ""estimated_minutes_saved"": ""18"", ""status"": ""queued""}"
bestie_actions,4,bst_004,bst_004,"{""bestie_action_id"": ""bst_004"", ""stream_id"": ""str_004"", ""creator_id"": ""crt_004"", ""action_type"": ""vod_hygiene"", ""tone"": ""pro"", ""trigger_source"": ""copyright_risk_scan"", ""suggestion"": ""Mute the background music track from 00:42:10 to 00:46:55 in the VOD export."", ""priority"": ""high"", ""creator_accepted"": ""true"", ""impact_metric"": ""copyright_claim_avoidance"", ""estimated_minutes_saved"": ""24"", ""status"": ""implemented""}"
bestie_actions,5,bst_005,bst_005,"{""bestie_action_id"": ""bst_005"", ""stream_id"": ""str_005"", ""creator_id"": ""crt_005"", ""action_type"": ""commerce_overlay"", ""tone"": ""dramatic"", ""trigger_source"": ""viewer_density_peak"", ""suggestion"": ""Trigger limited drop overlay during the chorus replay, not during intro chatter."", ""priority"": ""high"", ""creator_accepted"": ""true"", ""impact_metric"": ""revenue_per_viewer"", ""estimated_minutes_saved"": ""9"", ""status"": ""implemented""}"
clip_pipeline,1,crt_001,clp_001,"{""clip_id"": ""clp_001"", ""stream_id"": ""str_001"", ""creator_id"": ""crt_001"", ""source_timestamp"": ""00:18:44"", ""clip_hook"": ""Streams don't fail from one problem — they fail from cascading systems."", ""destination_platform"": ""TikTok"", ""status"": ""posted"", ""duration_seconds"": ""38"", ""clip_score"": ""91"", ""projected_views"": ""22000"", ""actual_views"": ""24800"", ""repurpose_priority"": ""critical""}"
clip_pipeline,2,crt_001,clp_002,"{""clip_id"": ""clp_002"", ""stream_id"": ""str_001"", ""creator_id"": ""crt_001"", ""source_timestamp"": ""01:02:17"", ""clip_hook"": ""Shadow Mode is not a feature. It is broadcast-grade insurance."", ""destination_platform"": ""YouTube Shorts"", ""status"": ""scheduled"", ""duration_seconds"": ""44"", ""clip_score"": ""87"", ""projected_views"": ""16000"", ""actual_views"": """", ""repurpose_priority"": ""high""}"
clip_pipeline,3,crt_002,clp_003,"{""clip_id"": ""clp_003"", ""stream_id"": ""str_002"", ""creator_id"": ""crt_002"", ""source_timestamp"": ""00:41:10"", ""clip_hook"": ""Chat chose chaos mode, so now we suffer together."", ""destination_platform"": ""Reels"", ""status"": ""draft"", ""duration_seconds"": ""31"", ""clip_score"": ""72"", ""projected_views"": ""3800"", ""actual_views"": """", ""repurpose_priority"": ""medium""}"
clip_pipeline,4,crt_003,clp_004,"{""clip_id"": ""clp_004"", ""stream_id"": ""str_003"", ""creator_id"": ""crt_003"", ""source_timestamp"": ""00:22:08"", ""clip_hook"": ""AI infrastructure is not just compute — it is water, energy, and latency."", ""destination_platform"": ""YouTube Shorts"", ""status"": ""posted"", ""duration_seconds"": ""52"", ""clip_score"": ""84"", ""projected_views"": ""9700"", ""actual_views"": ""11250"", ""repurpose_priority"": ""high""}"
clip_pipeline,5,crt_004,clp_005,"{""clip_id"": ""clp_005"", ""stream_id"": ""str_004"", ""creator_id"": ""crt_004"", ""source_timestamp"": ""01:11:33"", ""clip_hook"": ""This is why cinematic gameplay needs live pacing, not just editing."", ""destination_platform"": ""TikTok"", ""status"": ""scheduled"", ""duration_seconds"": ""29"", ""clip_score"": ""80"", ""projected_views"": ""7400"", ""actual_views"": """", ""repurpose_priority"": ""high""}"
